Epoch,Train_loss,Valid_loss,Train_acc,Valid_acc
1,2.36,2.58,0.11,0.10
2,2.65,2.47,0.18,0.19
3,2.46,2.21,0.18,0.18
4,2.22,2.14,0.20,0.21
5,2.15,2.09,0.21,0.21
6,2.11,2.08,0.23,0.23
7,2.08,2.11,0.20,0.21
8,2.11,2.13,0.22,0.22
9,2.15,2.05,0.23,0.23
10,2.06,2.00,0.24,0.25
11,2.02,1.99,0.25,0.25
12,1.99,1.97,0.26,0.26
13,1.98,1.95,0.25,0.25
14,1.97,2.00,0.25,0.26
15,2.02,1.94,0.26,0.26
16,1.96,1.91,0.30,0.29
17,1.94,1.93,0.27,0.29
18,1.94,1.98,0.26,0.28
19,2.01,1.89,0.28,0.28
20,1.92,1.87,0.30,0.30
21,1.88,1.84,0.32,0.31
22,1.86,1.90,0.31,0.31
23,1.90,1.97,0.28,0.27
24,1.97,1.86,0.31,0.33
25,1.86,1.84,0.32,0.32
26,1.85,1.86,0.31,0.32
27,1.86,1.86,0.31,0.33
28,1.88,1.81,0.33,0.34
29,1.82,1.80,0.34,0.35
30,1.79,1.82,0.35,0.33
31,1.83,1.77,0.36,0.35
32,1.76,1.74,0.36,0.38
33,1.76,1.81,0.34,0.33
34,1.79,1.78,0.35,0.34
35,1.80,1.77,0.36,0.36
36,1.75,1.71,0.40,0.38
37,1.69,1.69,0.40,0.37
38,1.67,1.74,0.38,0.37
39,1.72,1.90,0.31,0.33
40,1.93,1.74,0.36,0.36
41,1.72,1.72,0.39,0.39
42,1.71,1.70,0.40,0.38
43,1.69,1.70,0.40,0.41
44,1.70,1.71,0.38,0.38
45,1.71,1.67,0.40,0.40
46,1.64,1.66,0.41,0.41
47,1.64,1.64,0.42,0.40
48,1.62,1.67,0.41,0.41
49,1.65,1.64,0.42,0.40
50,1.61,1.63,0.42,0.41
51,1.62,1.59,0.44,0.42
52,1.58,1.67,0.40,0.40
53,1.66,1.59,0.44,0.43
54,1.58,1.59,0.44,0.42
55,1.56,1.59,0.44,0.43
56,1.60,1.57,0.45,0.42
57,1.54,1.62,0.43,0.41
58,1.58,1.61,0.44,0.42
59,1.57,1.58,0.45,0.43
60,1.55,1.53,0.46,0.46
61,1.50,1.54,0.47,0.45
62,1.50,1.70,0.41,0.40
63,1.69,1.53,0.48,0.47
64,1.50,1.50,0.48,0.46
65,1.46,1.51,0.49,0.47
66,1.48,1.52,0.48,0.44
67,1.48,1.57,0.45,0.43
68,1.53,1.53,0.46,0.46
69,1.49,1.54,0.47,0.44
70,1.50,1.47,0.48,0.46
71,1.47,1.48,0.50,0.47
72,1.42,1.47,0.49,0.49
73,1.45,1.52,0.48,0.46
74,1.47,1.46,0.51,0.51
75,1.41,1.49,0.49,0.46
76,1.44,1.61,0.44,0.43
77,1.60,1.45,0.51,0.48
78,1.39,1.39,0.53,0.51
79,1.36,1.41,0.53,0.51
80,1.35,1.41,0.53,0.50
81,1.35,1.46,0.51,0.47
82,1.41,1.46,0.51,0.49
83,1.41,1.44,0.51,0.50
